Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
1,Mikal Bridges,29,56,56,1921,9,18,0.504,3,7.9,0.382,6,10.1,0.599,0.587,1.5,1.8,0.829,1.5,4.4,6,5.7,2,1.1,1.5,2.9,22.6,128,114,
2,Jalen Brunson,29,51,51,1766,13.7,29,0.472,4.1,11,0.375,9.6,18,0.532,0.544,6.9,8.1,0.85,0.7,4.1,4.8,8.7,1.1,0.1,3.2,3.3,38.5,123,118,AS
3,Karl-Anthony Towns,30,52,52,1628,10.3,21.9,0.467,2.4,7,0.349,7.8,15,0.522,0.523,8.1,9.5,0.857,4.8,13.8,18.6,4.6,1.4,0.9,3.9,5.5,31.1,120,110,AS
4,OG Anunoby,28,42,42,1385,8.6,18.1,0.473,3,8.4,0.361,5.5,9.7,0.569,0.557,4.1,5.2,0.796,2.1,5.9,8,3.4,2.5,1.1,3,3.8,24.3,116,112,
5,Josh Hart,30,44,30,1342,7.4,14.7,0.5,2.5,6.1,0.407,4.9,8.6,0.566,0.585,2.3,3.2,0.736,2.3,9.8,12.1,8.3,1.9,0.5,3.2,4.1,19.5,123,112,
6,Miles McBride,25,35,14,981,7.9,18.1,0.434,5.1,12.2,0.42,2.8,6,0.462,0.575,1.8,2.2,0.814,1.1,3.5,4.6,4.9,1.5,0.3,1.4,3.2,22.6,125,117,
7,Jordan Clarkson,33,51,1,963,8.8,20.4,0.431,3.2,9.5,0.333,5.7,11,0.516,0.509,2.9,3.7,0.792,2.1,2.4,4.5,3.4,1.1,0.4,2.7,4.7,23.7,109,119,
8,Mitchell Robinson,27,40,14,785,5.3,7.7,0.691,0,0,,5.3,7.7,0.691,0.691,2,4.8,0.416,11.3,10.8,22,2.4,2.1,2.9,1.6,5.8,12.6,146,108,
9,Landry Shamet,28,31,9,687,7,15.8,0.443,4.9,11.6,0.42,2.1,4.2,0.508,0.597,2.7,3.8,0.717,1.1,3.1,4.2,3.4,1.1,0.5,0.9,3.1,21.6,130,118,
10,Tyler Kolek,24,48,1,636,7.2,17,0.423,2.8,7.6,0.364,4.4,9.3,0.471,0.505,0.9,1.4,0.667,1.1,5.8,6.9,10.9,1.5,0.2,3.9,4.7,18.1,109,116,
11,Guerschon Yabusele,30,41,0,366,5.6,14.3,0.393,2.7,9.1,0.294,3,5.2,0.564,0.486,1.1,1.6,0.667,3.2,8.4,11.7,2.4,0.8,0.7,2,4.8,15,106,115,
12,Ariel Hukporti,23,39,4,361,4.1,7.2,0.566,0.1,0.5,0.25,3.9,6.7,0.592,0.575,2.6,3.5,0.731,5.3,10.3,15.6,2.9,0.7,2.9,2.9,6.8,10.9,120,111,
13,Mohamed Diawara,20,46,6,327,7.1,15.5,0.456,3.9,9.5,0.413,3.2,6,0.525,0.583,0.5,0.9,0.5,1.5,6.8,8.3,3.8,1.8,0.8,2.3,4.5,18.5,114,114,
14,Kevin McCullar Jr.,24,16,0,123,5.2,13.2,0.394,2.4,6.8,0.353,2.8,6.4,0.438,0.485,0.8,2,0.4,3.6,6,9.6,7.6,2.4,0,4.4,7.2,13.6,101,114,
15,Jose Alvarado,27,4,0,82,10.2,22.7,0.447,6,16.2,0.37,4.2,6.6,0.636,0.579,2.4,3.6,0.667,1.2,4.8,6,9.6,4.8,0.6,3.6,7.2,28.7,121,108,
16,Pacome Dadiet,20,20,0,68,2.2,9.4,0.231,0.7,5.8,0.125,1.4,3.6,0.4,0.269,4.3,4.3,1,1.4,8.7,10.1,6.5,2.2,0,0,2.2,9.4,126,113,
17,Trey Jemison,26,10,0,57,3.4,6,0.571,0,0,,3.4,6,0.571,0.571,0.9,0.9,1,6,6.9,12.9,1.7,0.9,1.7,4.3,6,7.7,100,115,
18,Dillon Jones,24,4,0,21,2.3,11.7,0.2,2.3,7,0.333,0,4.7,0,0.3,9.3,9.3,1,4.7,7,11.7,7,4.7,0,0,7,16.4,147,108,
19,Jeremy Sochan,22,1,0,10,4.9,4.9,1,0,0,,4.9,4.9,1,1,0,0,,0,0,0,4.9,4.9,4.9,0,4.9,9.8,210,106,
20,Tosan Evbuomwan,24,5,0,8,0,6.1,0,0,0,,0,6.1,0,0,0,0,,6.1,6.1,12.3,0,0,0,0,6.1,0,70,119,
